2012-04-10 11:19:18,321:twitter_crawl_friends_and_followers:31:<module>:INFO: Started crawler
2012-04-10 11:19:18,321:twitter_crawl_friends_and_followers:100:<module>:INFO: Crawling for: ['waltmossberg']
2012-04-10 11:19:18,322:twitter_crawl_friends_and_followers:56:crawl:INFO: Getting user info
2012-04-10 11:19:18,322:twitter__util:110:getUserInfo:DEBUG: entering
2012-04-10 11:19:18,322:twitter__util:119:getUserInfo:INFO: Retrieving user info for 1 screen names and 0 user ids
2012-04-10 11:19:18,322:twitter__util:123:getUserInfo:DEBUG: screen_name while loop: Found 1 screen names
2012-04-10 11:19:18,322:twitter__util:126:getUserInfo:DEBUG: waltmossberg
2012-04-10 11:19:18,323:twitter__util:18:makeTwitterRequest:DEBUG: entering
2012-04-10 11:19:18,780:twitter__util:144:getUserInfo:INFO: Completed user info search for 1 screen names
2012-04-10 11:19:18,780:twitter__util:80:_getFriendsOrFollowersUsingFunc:DEBUG: entering
2012-04-10 11:19:18,780:twitter__util:86:_getFriendsOrFollowersUsingFunc:DEBUG: while loop: cursor = -1
2012-04-10 11:19:18,781:twitter__util:18:makeTwitterRequest:DEBUG: entering
2012-04-10 11:19:19,136:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 14434070
2012-04-10 11:19:19,136:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 16130907
2012-04-10 11:19:19,136:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 16800084
2012-04-10 11:19:19,137:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 19541375
2012-04-10 11:19:19,137:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 20608910
2012-04-10 11:19:19,138:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 16536114
2012-04-10 11:19:19,138:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 8232722
2012-04-10 11:19:19,138:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 12245632
2012-04-10 11:19:19,139:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 464493
2012-04-10 11:19:19,139:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 20109973
2012-04-10 11:19:19,139:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 22451862
2012-04-10 11:19:19,140:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 30313925
